Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
2017-reserve-red-blend-napa-valley,2017 Reserve Red Blend Napa Valley,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Deep Ruby in color with concentrated layers of dark cherry, brambly berry, dried bay leaf, anise, and toasty oak, highlighted by notes of clove and black pepper.  Rich flavors of dark cassis, black cherry, bay and sweet vanilla are interwoven in this robust, full-bodied wine. Dense mountain fruit fills the palate, with hints of cedar, plum, and sage lingering on the finish.</p>
<p data-mce-fragment=""1"">88% Cabernet Sauvignon, 6% Malbec, 6% Merlot</p>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2015_reserve_napavalley_lowres-1537430427481_895d0c7e-44bb-4313-bf26-c02442e2b22f.png?v=1625709525,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2017-reserve-red-blend-napa-valley,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2015_reserve_napavalley_lowres-1537430427481.png?v=1625709525,2,,,,,,,,,,,,,,,,,,,,,,,,
2017-elevation-1550-cabernet-sauvignon-napa-valley,2017 Elevation 1550 Cabernet Sauvignon Napa Valley,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Deep ruby in color. This wine evokes the mountain with aromas of bay, dried herb, and dark chocolate. Hints of licorice and blackberry also emerge along with vanilla bean and spice notes stemming from the French oak barrels it was aged in. Full and rich with the density and concentration that can only come off the mountain. Black current, plum, and dark cherry notes play beautifully on the pallet. The tannins are soft and supple leading to a lengthy finish. A truly beautiful wine.</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,continue,manual,65.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2017_elevation1550_cabernetsauvignon_napavalley_lowres-1599257818993.png?v=1625709081,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2017-elevation-1550-cabernet-sauvignon-napa-valley,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2017_elevation1550_cabernetsauvignon_napavalley_lowres-1599257818993_ae85ea6a-531e-4883-9037-41d145cd744c.png?v=1625709081,2,,,,,,,,,,,,,,,,,,,,,,,,
2017-cabernet-sauvignon-rosenquist-napa-valley,2017 Cabernet Sauvignon Rosenquist Napa Valley,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Deep Ruby in color with aromas of fresh blackberry and cherry preserves, layered with dried herbs, cedar, and sweet vanilla and toasted oak. Rich, concentrated black plums and cherry, baking spices, and the signature bay leaf of Mount Veeder. Mountain tannins build an age-worthy structure. Lengthy finish resonates with dark fruit, balanced acidity, and a hint of mocha.  </p>
<p data-mce-fragment=""1"">100% Cabernet Sauvignon</p>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,continue,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2014_rosenquist_cabernet_lowres-udljaa-1537430538477.png?v=1625708633,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2017-cabernet-sauvignon-rosenquist-napa-valley,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2014_rosenquist_cabernet_lowres-udljaa-1537430538477_73b6ea68-1f2a-4962-84be-637cf3b454df.png?v=1625708633,2,,,,,,,,,,,,,,,,,,,,,,,,
2018-cabernet-sauvignon-napa-valley-3l,2018 Cabernet Sauvignon Napa Valley 3L,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Deep ruby in color with intense dark fruit aromas of ripe black cherry, black currant and plum interlaced with complex notes of sweet herbs, clove, vanilla, dark chocolate, and toasty oak. Blackberry, cocoa, and black peppercorn unite on the layered palate with complex notes dark berry and cassis with highlights of bay, anise and mocha. Full yet elegant on the palate, with vibrant fruit and very approachable tannins with hints of nutmeg and vanilla bean add to the long persistent finish.</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,continue,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2017_cabernetsauvignon_napavalley_3l_lowres-1602095602976_8c5e8a8f-4959-4d8c-ba24-ea33ec7afec2.png?v=1625708006,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2018-cabernet-sauvignon-napa-valley-3l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2017_cabernetsauvignon_napavalley_3l_lowres-1602095602976.png?v=1625708006,2,,,,,,,,,,,,,,,,,,,,,,,,
2018-cabernet-sauvignon-napa-valley-375ml,2018 Cabernet Sauvignon Napa Valley 375ml,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Intense and intriguing layers of juicy berries and dark plum, toasty oak notes, and spicy hints of sweet bay leaf and anise. Vibrant berry and dark chocolate flavors blend with black peppercorn and graphite to create a complex and full palate. The rich, velvety structure delivers a smooth and seamless finish of cassis, blackberry pie, and rosemary.</p>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span>81% Cabernet Sauvignon, 10% Merlot, 4% Malbec, 3% Petit Verdot, 1% Cabernet Franc, and 1% Syrah</span></p>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2011_cabernetsauvignon_375ml_lowres-1597710827917.png?v=1625706281,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2018-cabernet-sauvignon-napa-valley-375ml,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2011_cabernetsauvignon_375ml_lowres-1597710827917_027db519-30fa-4fc0-a916-d218852b1a71.png?v=1625707181,2,,,,,,,,,,,,,,,,,,,,,,,,
2018-mount-veeder-cabernet-sauvignon-napa-valley,2018 Mount Veeder Cabernet Sauvignon Napa Valley,"<meta charset=""utf-8"">
<h2 data-mce-fragment=""1""></h2>
<div data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Deep ruby in color with intense dark fruit aromas of ripe black cherry, black currant and plum interlaced with complex notes of sweet herbs, clove, vanilla, dark chocolate, and toasty oak. Blackberry, cocoa, and black peppercorn unite on the layered palate with complex notes dark berry and cassis with highlights of bay, anise and mocha. Full yet elegant on the palate, with vibrant fruit and very approachable tannins with hints of nutmeg and vanilla bean add to the long persistent finish.</p>
</div>
<p data-mce-fragment=""1""><br></p>
<h3 data-mce-fragment=""1""></h3>",fantastic-head-plus,,"","",true,Title,Default Title,,,,,"",0.0,shopify,0,continue,manual,44.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/3366/0317/products/mtv_2018_cabernetsauvignon_napavalley_lowres-1599257726100_1.png?v=1625674844,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
2018-mount-veeder-cabernet-sauvignon-napa-valley,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3366/0317/products/2104_Meimoi_CabernetCloseUp_Website.jpg?v=1625676299,2,,,,,,,,,,,,,,,,,,,,,,,,
